file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.38821223971968494
a5	0.14557865155795358
a6	-0.5987123520664495
a7	0.15561645336678878
a8	0.15523008843202424
a9	0.3638294725587561
a10	0.22884213151774457
a11	0.19732514063319045
a12	0.5517124847314864
a13	-0.39944798297597217
a14	0.36103071908159384
a15	-0.1451064601268625
a16	-0.12995660050638738
a17	-0.3313463469618601
a18	0.050026213632205094
a19	-0.08554677302957735
a20	-0.1683650696288152
a21	0.06549346461594102
