file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.4347324557642461
a5	0.1391605987570824
a6	-0.3989856485550737
a7	0.006695026303076151
a8	0.43198112344363954
a9	0.1613414563477281
a10	0.4984225386474394
a11	-0.07923738913618353
a12	0.2997101974710926
a13	-0.531212815582858
a14	0.2636613391265856
a15	-0.15245633905585343
a16	-0.11364874994386284
a17	-0.4135635423261485
a18	0.14312202867470866
a19	-0.23070693308215845
a20	-0.12088968511029294
a21	0.15516462210517196
