file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.4158936153055835
a5	0.23719074517456956
a6	-0.4600559661360467
a7	0.03620945162776301
a8	0.2485489273222745
a9	0.39922822068853026
a10	0.3594034348309548
a11	0.02172651956446371
a12	0.2646552763830704
a13	-0.41672024403908015
a14	0.34564900755659467
a15	-0.09398470090484234
a16	-0.07986461686158555
a17	-0.46696835778750523
a18	0.07920018811957319
a19	-0.0787271844099951
a20	-0.10204200634423549
a21	0.06857092771553998
