file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.46914317435612274
a5	0.18755189776311246
a6	-0.6269097030286912
a7	0.15103636051788885
a8	0.1343726657578146
a9	0.4796606250209393
a10	0.15112657676751817
a11	0.0940369258448897
a12	0.5254942703970159
a13	-0.42021570779201395
a14	0.4141351914573456
a15	-0.1278863014002067
a16	0.03194305083844587
a17	-0.35546581078054157
a18	-0.013704321766031348
a19	-0.06531908701836346
a20	-0.12017853079013253
a21	0.149387196801606
