file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.41621873998038045
a5	0.23418215446890225
a6	-0.5387623798949344
a7	0.1155991152737628
a8	0.22258227591555488
a9	0.43292154346889566
a10	0.21707978107860645
a11	0.2253368759693261
a12	0.5132810182434401
a13	-0.3283541869928602
a14	0.36117639894029246
a15	-0.1164668266955213
a16	-0.03234880533347344
a17	-0.29943487139187286
a18	0.02295393158557899
a19	0.0405142233474736
a20	-0.18847076100090734
a21	0.03785371177282697
