file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.47381636924541454
a5	0.25480194963476865
a6	-0.4335368832733921
a7	0.08116722206513763
a8	0.2459549544483809
a9	0.2403713568708795
a10	0.2367861460321544
a11	0.0756687482975886
a12	0.43491760891929077
a13	-0.5764891830314292
a14	0.2439058814101546
a15	-0.26413981321082103
a16	-0.10014770218365376
a17	-0.2682788069523467
a18	0.04126001764840623
a19	-0.08670804629931703
a20	-0.14274212253452895
a21	0.13441697979725745
