file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.4124752014570407
a5	0.18422085016730602
a6	-0.5565459340224128
a7	0.07096662151407845
a8	0.08822354083165675
a9	0.5048258282790758
a10	0.45138815226010776
a11	-0.10009708524400407
a12	0.42142982603673795
a13	-0.34231219330159185
a14	0.368939708908505
a15	-0.10753390351461917
a16	-0.2414598559457441
a17	-0.027340538179928122
a18	0.22621836167554332
a19	0.09891103284180368
a20	-0.04737373821324239
a21	0.14597855032552526
