file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.3479337880024036
a5	0.24119131235307545
a6	-0.37621145494865377
a7	0.08046952775478232
a8	0.3282580385385483
a9	0.37152094705359656
a10	0.4109153032218734
a11	0.07781929600156468
a12	0.4304675440146853
a13	-0.4102776558056126
a14	0.1765071069371164
a15	-0.05222028723789978
a16	-0.2867263253185015
a17	-0.4564848678337998
a18	0.1276938036333454
a19	-0.1541614084318985
a20	-0.15639875678810355
a21	-0.020928844078442612
