file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.3769893822487066
a5	0.19596088653483074
a6	-0.5916014565886288
a7	0.2040112628713112
a8	0.054129092620595606
a9	0.46009357530238243
a10	0.09776112123272211
a11	0.18705000845717426
a12	0.560908395988879
a13	-0.3128844812121531
a14	0.32719199287051565
a15	-0.09398737878472585
a16	-0.06633248187854428
a17	-0.3867806984510572
a18	0.034724963779860986
a19	-0.0029309767634312592
a20	-0.13379748571355202
a21	-0.011529189028229034
