file	PD_15_7_20_02_cam_0_ima_1
output	Flight/15_7_20_02
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.572982319815484
a5	0.12377702289334148
a6	-0.3880170391271111
a7	0.03354619771481597
a8	0.06046177254284155
a9	0.3890103909478906
a10	0.0814910392992397
a11	0.4142085190698566
a12	0.4330905547375158
a13	-0.3576588462441933
a14	0.11751030881749915
a15	0.007075339836256356
a16	-0.1143090443249885
a17	0.0032978868559517278
a18	0.0665061655431899
a19	-0.2941658753164522
a20	-0.006548885676396032
a21	0.23448645871939658
