file	PD_15_7_20_02_cam_0_ima_1
output	Flight/15_7_20_02
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.544276856915974
a5	0.03513159580223005
a6	-0.48918374800332576
a7	-0.04890765719960248
a8	-0.00330092412470661
a9	0.28718957932431854
a10	0.1137771665052885
a11	0.4624625462708223
a12	0.33376565157823124
a13	-0.21692641043286895
a14	0.21674691094283835
a15	-0.1715138961765955
a16	-0.1755561534918593
a17	0.046906899593417116
a18	0.12601311367202722
a19	-0.27892486868854394
a20	-0.04931363297498185
a21	-0.03524835936396416
