file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.059460928714107436
tilty1	0.005401350810634663
a4	-0.5435461243303427
a5	0.03001258054810983
a6	0.1887178595057571
a7	0.0860289836462173
a8	0.08937802677043838
a9	0.21510412864643738
a10	0.06572342039105916
a11	-0.4765653237478769
a12	-0.14206431157610386
a13	-0.0441413660048902
a14	-0.09762373228090764
a15	0.12254418691472482
a16	0.0678147789430855
a17	0.033954055680366725
a18	0.026828224018387022
a19	-0.053741943255823495
a20	-0.0475338892664459
a21	-0.003007342983042739
