file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	0.002655625804885252
tilty1	-0.013187757893512996
a4	-0.3466184276282793
a5	0.008384306466927987
a6	0.20447574574081848
a7	0.061523905555128384
a8	0.04568443708477403
a9	0.16266113945744118
a10	0.00879166058679873
a11	-0.4527421951902952
a12	-0.18582305264574617
a13	-0.01980889717429756
a14	-0.07975831830034393
a15	0.10384557073343445
a16	0.02366557173140137
a17	0.005704833673268156
a18	0.012390415404691612
a19	-0.06226925914743228
a20	-0.03548878049188958
a21	-0.003789996640026375
