file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	0.001603236804431668
tilty1	0.00889151850160343
a4	-0.06974045290756875
a5	-0.10948691278000747
a6	0.23328683120623273
a7	-0.0036905436434797574
a8	0.0033549544324979405
a9	0.09963347333016852
a10	0.058411724907689005
a11	-0.6355949313474113
a12	-0.16412264243778285
a13	0.012977963702627783
a14	-0.04991426165767878
a15	0.061757851853572694
