file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.01567181635253307
tilty1	-0.01839652738781411
a4	-0.4536386616273588
a5	-0.05764974151043975
a6	0.22696700433213002
a7	0.0900555515745908
a8	0.06335986296232454
a9	0.16196389501823164
a10	0.012124845567684308
a11	-0.47577172324221745
a12	-0.1641724648268339
a13	-0.034801813332935326
a14	-0.10327677569791471
a15	0.15027515365907648
a16	0.043766650093737564
a17	0.019860337874472066
a18	0.020238963771097802
a19	-0.04755343023879025
a20	0.01357941299358447
a21	0.05565599527720098
