file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.09793709768195323
tilty1	-0.013319356592350059
a4	-0.09909923533026371
a5	-0.27418929955562027
a6	0.14738448996421055
a7	-0.006551331701681534
a8	-0.014964273593110762
a9	-0.10954133560760002
a10	0.10036588364241505
a11	-0.5956894498705907
a12	-0.1805109709312792
a13	0.08181548744539215
a14	-0.05560651656947721
a15	0.027206831529792367
