file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.05780392597061747
tilty1	0.0034666832770945816
a4	-0.42709935197749643
a5	-0.09103601591169737
a6	0.22877989400581358
a7	0.023580683288550487
a8	0.14244128284569887
a9	0.18307913259841554
a10	0.09297008857880688
a11	-0.4579555552113584
a12	-0.16275243561740382
a13	-0.02686113519722157
a14	-0.037557978403548006
a15	0.11130617082551267
a16	0.07609280334247524
a17	0.04106841342250407
a18	0.019398816092777924
a19	-0.03572423609818362
a20	0.01165329275717447
a21	0.002405844094188289
