file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	0.014785036127018378
tilty1	0.013875429578240452
a4	-0.09809518006570042
a5	0.0031221149757682774
a6	0.12568223190240152
a7	-0.015676002078626506
a8	-0.029789202902678464
a9	0.18251019924488873
a10	0.02819883634093611
a11	-0.7091626559812492
a12	-0.16621693417746455
a13	-0.03624836193322157
a14	-0.10762259088374118
a15	0.0640701085620848
