file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.010704784813924277
tilty1	0.02827187317148574
a4	-0.30605241862880717
a5	-0.13300400690301079
a6	0.3158668090468643
a7	-0.027821667681649263
a8	0.01743067581354152
a9	-0.21637144450848636
a10	0.052090729198572515
a11	-0.3768755629080493
a12	-0.1503796332988684
a13	0.06331075414504611
a14	0.03312554572154079
a15	-0.025951374111835276
