file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.041967141068015856
tilty1	0.0033704467863546962
a4	-0.2977784661804505
a5	-0.11632571185622183
a6	0.32336546295327667
a7	-0.029392956145711156
a8	0.04756943536384158
a9	-0.14138145363130075
a10	0.09986995149239138
a11	-0.37805395844359996
a12	-0.15500835334773627
a13	0.06106888261119377
a14	0.011977269829907308
a15	-0.031092679899140226
a16	0.05990000869674553
a17	-0.008676709949052556
a18	0.02062187958668546
a19	-0.007105237740119345
a20	0.09671911252386835
a21	0.010663851761834528
