file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.024920107070555163
tilty1	0.021472122853998573
a4	-0.37223985435112245
a5	-0.14303946847407892
a6	0.22733956933686744
a7	-0.02316325489230423
a8	0.08881871624563831
a9	-0.0827301843572946
a10	0.1130363103554928
a11	-0.41207818134368934
a12	-0.18543439776764375
a13	0.052831650617030435
a14	-0.0109071920273636
a15	-0.00426355741829778
a16	0.09038082497444729
a17	0.022999935263663243
a18	0.008845222444976928
a19	0.02488204092837563
a20	0.08679517593866169
a21	0.04261410599418395
