file	random_cam1_517nm
output	Kiruna/2024-04-16
ext	.fits
Jmin	4
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	-0.23673998940952118
a5	0.027320918519832517
a6	0.18596728705449053
a7	-0.08325991469824835
a8	-2.6622496304039116e-05
a9	0.22391137162340494
a10	0.08954332152483682
a11	-0.4971504752394648
a12	-0.16272331485669955
a13	0.025156330100991844
a14	0.015272734080430832
a15	0.08786276663789179
