file	random_cam1_517nm
output	Kiruna/2024-04-16
ext	.fits
Jmin	4
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	-0.12051803963181018
a5	-0.028429167810843238
a6	0.19081349309548612
a7	-0.14738113204418704
a8	-0.05184964153633571
a9	0.05748750901852643
a10	0.18935999328129974
a11	-0.533015812564789
a12	-0.22083681656394236
a13	0.05983171823386113
a14	0.03846335435907359
a15	0.02423711040272107
