file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.2816420728915025
a5	-0.1983365558327786
a6	-0.7873403209194373
a7	0.1988620712618566
a8	-0.17911659551760928
a9	-0.4041546761531139
a10	0.4757981261512068
a11	-0.502625683804554
a12	-0.20206811260664057
a13	-0.8064103053825084
a14	0.5098699837919632
a15	-0.22412124380496318
a16	-0.3121004313335787
a17	0.001889949592587838
a18	-0.011867029345211463
a19	-0.5517797306555386
a20	-0.29179808795880696
a21	0.044665457961811816
