file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.36234748188173355
a5	0.19466815337097026
a6	-0.8125035182294285
a7	0.22176054194300476
a8	0.011965394077909112
a9	0.0345311565308127
a10	0.16663161720402095
a11	-0.2668201176564438
a12	-0.03361626770710163
a13	-0.5048596780784133
a14	0.11642412474284983
a15	-0.2440991341637709
a16	-0.5842548268305056
a17	-0.014994197817420616
a18	0.032401244177553995
a19	-0.053789595914400114
a20	-0.2506117728112324
a21	-0.1047249013158774
