file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.1122494617737409
tilty1	0.00013603513988974872
a4	-0.4011794498205064
a5	-0.14196443516921256
a6	0.19606736401217184
a7	-0.013174548250691366
a8	0.05168863605446412
a9	-0.17079065903277377
a10	0.06420725638322589
a11	-0.43325595362175057
a12	-0.16843998597205034
a13	0.06730961414849182
a14	0.017840643435566274
a15	0.01053611068374288
