file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.11115017648885853
tilty1	0.005184313943188908
a4	-0.33510113379679196
a5	-0.14898765002429884
a6	0.16812996748374076
a7	-0.08042947077909333
a8	0.06228456526760717
a9	-0.19365859788070378
a10	0.10893883325739658
a11	-0.4408419335249745
a12	-0.21746699427699567
a13	0.0719004886438154
a14	-0.026262429860152734
a15	-0.013367616597338424
