file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.01814023170795842
tilty1	0.042150303621386165
a4	-0.3463304943189997
a5	-0.12490683579260187
a6	0.3053225696363104
a7	-0.02666396486905592
a8	0.02559248645784602
a9	-0.20368481480146808
a10	0.04382816295012631
a11	-0.41417129395776087
a12	-0.15018120400499035
a13	0.06490627618120182
a14	0.03353535824747396
a15	-0.03079074594808959
