file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.06859260788780555
tilty1	-0.10317982106752575
a4	-0.052543794347606365
a5	-0.06302183977473876
a6	0.14290718183624576
a7	0.024773761436585166
a8	-0.012777314819429538
a9	0.15037197137752747
a10	0.00543886949400718
a11	-0.7755483097236601
a12	-0.18002719803319167
a13	-0.017976922825932166
a14	-0.09872061680793981
a15	0.05082838098036099
