file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.07629899627336198
tilty1	-0.0740124983897216
a4	-0.3490877825317762
a5	-0.24626575836638392
a6	0.14380083863650966
a7	-0.011147338300978898
a8	0.0502924041364604
a9	-0.09689208525471592
a10	0.15099480226120096
a11	-0.42479941997568893
a12	-0.17603713011853594
a13	0.07894409997887253
a14	0.02558035150107975
a15	-0.012153960716534214
