file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.181307075455008
tilty1	-0.05899063818605339
a4	-0.052750701708569506
a5	-0.1212731945665862
a6	0.17608899359197883
a7	-0.025253027256778214
a8	0.04447864150981418
a9	0.14577430749758735
a10	0.0741111518792716
a11	-0.7592915572616532
a12	-0.1603849693614477
a13	-0.026420097903273994
a14	-0.04783584573076704
a15	0.08494426957216102
