file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.018506238731451012
tilty1	-0.04890581998306046
a4	-0.0035237321315282066
a5	0.02792451031648345
a6	0.1746105085478771
a7	0.018584098935899983
a8	-0.016695881691434045
a9	0.1846952622350682
a10	0.008093181537817174
a11	-0.7590345086846729
a12	-0.19913951393658297
a13	-0.02138790729619992
a14	-0.09994050417279124
a15	0.05985280733641015
