file	11_07_2024_cam_2_focused_defocused
output	Flight
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.4263355276409153
a5	-0.4278115065703531
a6	-0.7270310189683736
a7	-0.06572124062921796
a8	-0.11423823328133317
a9	0.28125441437493826
a10	-0.41465885969853844
a11	-0.25489972166095654
a12	-0.2791490260985358
a13	-0.12198780121718311
a14	-0.015558254570635787
a15	0.2797730641214029
a16	0.6024793558638801
a17	0.06314634705820352
a18	0.2593458283434932
a19	0.12638754343527828
a20	-0.21121886064964315
a21	-0.16053837590300618
