file	11_07_2024_cam_2_focused_defocused
output	Flight
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.4495105793465131
a5	0.006534668501200417
a6	-0.8850067367964842
a7	0.1108664654787052
a8	-0.20026308692464942
a9	0.3911280182927388
a10	-0.3381651025404323
a11	0.28087103867498786
a12	0.34495509211090447
a13	-0.2587502168364385
a14	-0.07043174228219304
a15	0.07651357066880594
a16	0.16955025337346152
a17	0.07022226726672916
a18	0.18355472658836317
a19	-0.005104766217843368
a20	-0.011967029678704132
a21	0.12374046423597505
