file	11_07_2024_cam_2_focused_defocused
output	Flight
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.42881692355372086
a5	-0.034348512011118604
a6	-0.9283905069325346
a7	0.15669481796671678
a8	-0.23818662857981207
a9	0.4122579627594196
a10	-0.5494458282598244
a11	0.3200288820687246
a12	0.4530959565825672
a13	-0.4555076889545595
a14	-0.2134319550615148
a15	0.11361672558530962
a16	0.1895749040818518
a17	0.2468314415537169
a18	0.26134961781936095
a19	-0.04817745127156765
a20	-0.06644165016053727
a21	0.1738492586469665
