file	11_07_2024_cam_2_focused_defocused
output	Flight
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.5903156195763747
a5	-0.08316876011537044
a6	-0.7292487004160906
a7	-0.18746965409253435
a8	-0.219668189095846
a9	0.2837339240267359
a10	-0.7430337921087697
a11	-0.13275109478319572
a12	0.08148926266929278
a13	0.043068438885089926
a14	0.05966461333271015
a15	0.24224327630082038
a16	0.5814755129758182
a17	-0.07583191886858379
a18	-0.05746127233194604
a19	-0.009662978092303246
a20	-0.1400828215260792
a21	-0.02709198397698863
