file	11_07_2024_cam_2_focused_defocused
output	Flight
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.5340458265332714
a5	-0.06434359464824277
a6	-0.8074428105532929
a7	0.04803416637036421
a8	-0.07079691137064942
a9	0.31780298083820824
a10	-0.4843160603162199
a11	0.3290646928447301
a12	0.7472245152438027
a13	-0.07976256541877019
a14	0.08577570566512792
a15	0.030209322605346426
a16	0.1037593173579381
a17	0.005025488088164307
a18	0.12510813772448803
a19	-0.07687845950832776
a20	-0.024634972657539098
a21	0.0263450735948891
