file	11_07_2024_cam_2_focused_defocused
output	Flight
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.5201736547925471
a5	-0.024621938622893982
a6	-0.897695932165617
a7	0.021873459470854298
a8	0.011715799662422841
a9	0.25035125279503445
a10	-0.4140310701398093
a11	0.2261388648187472
a12	0.6087442573849522
a13	-0.056820758651749584
a14	0.06576465487836577
a15	-0.05990463632532195
a16	0.025786900051303727
a17	-0.008748375853244474
a18	0.16650502800059058
a19	-0.04731793886555575
a20	0.013087426703249843
a21	-0.04871436419460694
