file	11_07_2024_cam_2_focused_defocused
output	Flight
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.45310498135425087
a5	-0.06965587328473219
a6	-0.8494442413934556
a7	0.02873636645222873
a8	-0.1998529400178108
a9	0.29123578752751256
a10	-0.5484220968600064
a11	0.38900854731500434
a12	0.508161815081813
a13	-0.10555861629260563
a14	-0.06434837899162447
a15	0.07406285390975269
a16	0.035913550458673615
a17	0.030438757215252892
a18	0.1830011127671337
a19	-0.06862915956838347
a20	-0.18948171795704508
a21	0.0110847029084916
