file	11_07_2024_cam_2_focused_defocused
output	Flight
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.4921997040860653
a5	-0.11641678264466278
a6	-0.586061419225658
a7	-0.04116817888267478
a8	-0.5769481865604624
a9	0.3744158529905997
a10	-0.3345468698435731
a11	0.20261680517452538
a12	0.36441890104539976
a13	0.29058066845757413
a14	0.041784819855661015
a15	-0.03560870633619982
a16	0.16173374167714055
a17	-0.5373413012025029
a18	0.06418819298637006
a19	-0.20164668841802025
a20	0.09784098538513707
a21	0.1845194252634274
