file	11_07_2024_cam_2_focused_defocused
output	Flight
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.45367199746310816
a5	-0.033104169673914385
a6	-0.9579991512163764
a7	0.07917953278106166
a8	-0.09980853203836425
a9	0.2224186692421219
a10	-0.5318982164840481
a11	0.34791218387186035
a12	0.5876130185659534
a13	-0.04706700572567166
a14	-0.08254663533014361
a15	0.05395351894337542
a16	0.023574473952105185
a17	-0.02864702474633125
a18	0.1681952585465277
a19	-0.0607973751941547
a20	-0.07865392242321986
a21	-0.07002896376005874
