file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	1.131428714051204
a5	0.553569213693585
a6	-0.5285073276013156
a7	0.023550951124461966
a8	0.9026669428560157
a9	1.4978494107507452
a10	0.23598685351398702
a11	0.5597698460297861
a12	0.3873795241698102
a13	0.6357906799207291
a14	0.11726682057536082
a15	0.40982940267315093
a16	0.2050247278667117
a17	0.1643555920284515
a18	-0.19540583164335146
a19	0.5141325836799284
a20	-0.6581698156272477
a21	0.1700309808393849
