file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.6665984904939366
a5	0.596374189172861
a6	-0.5597312762168065
a7	0.5404160105635489
a8	0.5104327220379576
a9	0.2770010992605249
a10	0.7156354045000966
a11	0.1797925027844835
a12	0.25760522615480247
a13	0.5173047991904358
a14	0.019099999552771228
a15	-0.21913969591419505
a16	0.14739157456501484
a17	1.0097810580381048
a18	-0.0734921091664562
a19	-0.24217812725162371
a20	-0.3936274270882149
a21	0.172397184199853
