file	random_cam1_517nm
output	Kiruna/2024-04-17
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.22092113603204658
a5	-0.03409835376759916
a6	-0.028600203576308828
a7	-0.05062166221672124
a8	-0.12989554341063436
a9	0.19139563476880764
a10	0.040364707156745644
a11	-0.3754189896119548
a12	-0.11114622814795844
a13	-0.07057262754655462
a14	-0.19607238941414382
a15	0.21460210912910327
a16	0.01037105277795105
a17	0.020946346312651364
a18	0.04267564875095709
a19	-0.03944259807743804
a20	-0.027320534025661782
a21	0.019455996789947503
