file	random_cam1_517nm
output	Kiruna/2024-04-17
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
a1	0.0
a2	0.0
a3	0.0
a4	0.24715268673855637
a5	-0.07460900444478173
a6	0.2251471841904674
a7	-0.1111944457942335
a8	-0.1445469115821388
a9	0.021844977916805473
a10	0.22639443912907495
a11	-0.4478004717467933
a12	-0.23480554562292222
a13	0.04814635762051438
a14	0.0626515871712291
a15	0.030477530684198513
a16	0.001112912237118728
a17	-0.014621025851779728
a18	0.02187297011625358
a19	0.043896209254340526
a20	0.05433528173217127
a21	-0.010696118874541534
