file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.5239021153372968
a5	0.16406694402044977
a6	-0.8077547616819177
a7	0.5121776164637308
a8	0.020363112780203255
a9	-0.14167778521437174
a10	0.2687785987995791
a11	-0.25278909214975187
a12	-0.09635155618353075
a13	-0.5759783453726259
a14	0.3159504732631717
a15	-0.10941130731145084
a16	-0.26318031156627636
a17	-0.06106438800834606
a18	-0.0023793370913479926
a19	-0.4692682922110591
a20	-0.4895452569167715
a21	-0.047471619322326415
