file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.6875447560056159
a5	-0.0254654204456441
a6	-0.4721166307625541
a7	-0.15509816292313816
a8	0.5826121239738961
a9	-0.2336437642621261
a10	0.10587251270285476
a11	-0.20470766397238746
a12	0.16304784036529416
a13	-0.6907428198985133
a14	-0.04455584001574416
a15	-0.473744205401927
a16	-0.02236703007142684
a17	-0.4675181417530553
a18	-0.06962054363288009
a19	-0.3136684600620419
a20	-0.38191412799254953
a21	-0.14918018597732408
