file	PD_10_7_16_34_cam_0_52502_ima_1
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.2756164448116199
a5	-0.1989424790021351
a6	-0.7760217305832446
a7	0.22814449575546192
a8	-0.17705472933703967
a9	-0.4304886592007057
a10	0.5023571479952125
a11	-0.5067347020938014
a12	-0.19727407631767488
a13	-0.828041281739177
a14	0.5083363095904826
a15	-0.21561264137606134
a16	-0.32257067796736705
a17	-0.02940220820765785
a18	-0.00847377062148624
a19	-0.5601374515892059
a20	-0.2932829592540194
a21	0.05523778863294493
