file	PD_10_7_16_34_cam_1_52502_ima_39
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.5065778430262915
a5	0.14753430961581468
a6	-0.5878342867675763
a7	0.08240817273294092
a8	0.12354237685331221
a9	0.6195807497125134
a10	0.257541168668074
a11	-0.030967808107031928
a12	0.3929137552327857
a13	-0.22519959145131407
a14	0.426131866902693
a15	-0.035272744981245704
a16	-0.09314084023001072
a17	-0.17284510606134051
a18	0.09668447259354
a19	0.12582934364247633
a20	-0.09585949453786306
a21	0.1376428623197021
