file	PD_10_7_16_34_cam_1_52502_ima_39
output	Flight/10_7_16_34
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.4985526171044084
a5	0.2372140372849937
a6	-0.41459353470891025
a7	0.013341953449374845
a8	0.2859693531971595
a9	0.5346159954507079
a10	0.4041306663277172
a11	0.029634819916279746
a12	0.25172467546690086
a13	-0.28390361643963735
a14	0.3466126326033741
a15	-0.07257282175941324
a16	-0.014990319102864745
a17	-0.36804531322279826
a18	0.14832325570475208
a19	-0.018097354374016664
a20	-0.1349390019944517
a21	0.0717274373113013
