file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.5010025088434236
a5	0.08524820658513706
a6	-0.8384329312817876
a7	-0.012988092167699609
a8	0.13494758152866165
a9	0.35673889584676105
a10	0.5931101155093137
a11	0.29673815732808145
a12	0.6564283147069799
a13	0.12669375750038445
a14	0.006057495815301239
a15	-0.08788258912932931
a16	-0.06341001311180976
a17	-0.012805727519684992
a18	-0.12631911321770295
a19	-0.10135282777309083
a20	0.04235980617686974
a21	0.10184975679094384
