file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.4768382224383004
a5	0.00980893029494549
a6	-0.7873551450659948
a7	0.1357168626454373
a8	0.22728511960345207
a9	0.36797421087760973
a10	0.4057550642590485
a11	0.22379285244295913
a12	0.3070918284125401
a13	0.27619934037028654
a14	-0.20919248505806498
a15	-0.03554033122045673
a16	-0.08495161587460129
a17	0.006247772967839788
a18	-0.18929778469504135
a19	-0.005511331741577677
a20	-0.04299945673142706
a21	0.02765482886582932
