file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.481247003610945
a5	0.3468847631079621
a6	-0.703126206874694
a7	0.15205976652662054
a8	0.4529852534441505
a9	0.4395659843984565
a10	0.28287537442636757
a11	0.1087230269106749
a12	0.03799710098722673
a13	0.33083648899229495
a14	-0.1228481857271149
a15	-0.027616958649081667
a16	-0.33733865359857546
a17	0.28882564741521455
a18	-0.1179016927079917
a19	0.17183549134500775
a20	-0.2743792506405481
a21	-0.15921724016230135
