file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.4348560990507597
a5	0.12352941377010121
a6	-0.8236811552979549
a7	-0.01416910814001377
a8	0.16976711477106515
a9	0.33492553082422694
a10	0.5561021455453998
a11	0.3707997225211188
a12	0.5078868237270779
a13	0.005343870727295615
a14	-0.05435774317405076
a15	-0.16925476512490883
a16	-0.057417043772077486
a17	-0.024877295585398643
a18	-0.08607516360669891
a19	-0.05191074300296159
a20	0.08585730991607633
a21	0.00828968705373619
