file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.42326612427650945
a5	-0.008099250583815897
a6	-1.019312111479929
a7	0.02579162330881157
a8	0.019865830028965553
a9	0.24390343159196043
a10	0.3945668623395261
a11	0.34231526159771974
a12	0.6244113569130787
a13	0.18283889776752843
a14	0.049034874253209085
a15	0.10807285697338738
a16	0.02226778227213382
a17	-0.013642570775417976
a18	-0.1502754018609604
a19	-0.018450742537543533
a20	0.010082973736625922
a21	0.012486210195731042
