file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.5041115558778015
a5	0.01584180654062045
a6	-0.9039827228318942
a7	0.007633518012905632
a8	0.0050603678940985605
a9	0.3325417024026089
a10	0.4221135765651466
a11	0.17093939511533163
a12	0.6800285061193709
a13	0.048388284022946586
a14	0.12653236110914734
a15	0.036404129614410946
a16	-0.06282371774289916
a17	0.00965721425704415
a18	-0.10237475067714419
a19	-0.04345348580361154
a20	-0.007000430124944671
a21	0.04113828785657726
