file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.44960693664496626
a5	0.07529843948447376
a6	-0.7753475168480413
a7	-0.04505787735419948
a8	0.33959459933255276
a9	0.5240017494359649
a10	0.5046197854909977
a11	0.3419382406182528
a12	0.46773246850923716
a13	0.10463080786739506
a14	0.21491803874698098
a15	-0.22327717149120851
a16	-0.10431900729737972
a17	0.08937679673550666
a18	0.04204014252829966
a19	0.021018901344397586
a20	-0.19388613105920857
a21	0.09451024288724034
