file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.5345492058304626
a5	0.013264668732278065
a6	-0.929838014014292
a7	0.013011643701718796
a8	0.04457849183013163
a9	0.24721756451287744
a10	0.4403420974160719
a11	0.2547763804895926
a12	0.6261357450956816
a13	0.15153994583171954
a14	0.1281175905531082
a15	0.12677658778774875
a16	-0.044703543611046295
a17	-0.04892302356516957
a18	-0.16334467227071264
a19	-0.02063668905330616
a20	0.11728973171894849
a21	0.046670561292530235
