file	PD_12_07_18_26_cam_0_ima_1
output	Flight/12_07_18_26
ext	.fits
Jmin	4
Jmax	22
tol	0.05
maxnorm	2
maxit	30
w_cut	0.06
d	[ 0.     -1.4889]
a_d	[ 0.     -2.7005]
a1	0.0
a2	0.0
a3	0.0
a4	0.5087504941752631
a5	0.06488637837884749
a6	-0.805113172849353
a7	0.0037428389061308336
a8	0.03190796416654691
a9	0.2892220066249962
a10	0.5007302319322295
a11	0.24581299370544027
a12	0.6356686137173653
a13	0.037972174902534676
a14	0.07999057141256052
a15	-0.01678338154284098
a16	-0.09720152587117135
a17	-0.03350717461234566
a18	-0.14422771611195917
a19	-0.05530568243791971
a20	-0.023838758632314806
a21	-0.027474518877162873
