it	0.0	1.0	2.0	3.0	4.0	5.0
L	0.0	0.0021668842316472157	0.0015718120556564505	0.0009195999555336921	0.0007879274126336191	0.0007796078492000995
norm	2.0	0.5582119144561575	0.3457179571127153	0.33891277622092786	0.05480625122925741	0.02799248701568891
offset	0.0	0.0	0.0	0.0	0.0	0.0
tiltx0	0.0	0.0	0.0	0.0	0.0	0.0
tilty0	0.0	0.0	0.0	0.0	0.0	0.0
tiltx1	-0.39980558	-0.37315986045194793	-0.36299655341865783	-0.36830610862184093	-0.3659805065332595	-0.36358109107042874
tilty1	-0.10127251	-0.11277431098372195	-0.0959218401573199	-0.0825328735573253	-0.0855302874180506	-0.08538640298847903
a4	0.23362473	0.1567927223589314	-0.09958777565393892	-0.28885702786799283	-0.30493159341158943	-0.3221548036670388
a5	0.02575082	-0.13356937469344968	-0.1459209961701955	-0.15819399806114573	-0.15875639789971047	-0.1619862329465439
a6	0.08360187	0.13177677492919265	0.12000939831665915	0.11549220152629608	0.11494484976308121	0.11716905012814754
a7	0.0454238	-0.010269955774944724	-0.041854692254001374	-0.03054837669530451	-0.016706774108753434	-0.010791313650829581
a8	0.06908034	-0.06879845519924359	-0.09578368109145396	-0.037481688973019726	-0.022240327020189573	-0.016719243605387707
a9	-0.43703204	-0.3631948864977462	-0.1725793936238151	-0.21663832565205007	-0.17409886508511313	-0.15949351417680274
a10	-0.17062485	-0.10652035430658535	-0.06484297246237439	0.1891543666634015	0.17937657677560911	0.1718130835156635
a11	0.00839246	-0.4675116467543719	-0.3817956890650346	-0.37044320670998826	-0.3790656677842528	-0.3811137821985224
a12	-0.03630576	-0.08509850747287143	-0.16200472115380943	-0.19333052754164787	-0.18808853999240846	-0.18634511459840472
a13	0.0	0.07936822306506286	0.08147012085341626	0.10083714525045082	0.10519142594065674	0.10295709468091709
a14	0.0	-0.10002835738001443	-0.10577174487790471	-0.025393668622348445	-0.015403518149554176	-0.005643038217701317
a15	0.0	0.01752843395284421	0.013610530796654217	0.040663035261802406	0.027222922839194176	0.02250144961077252
