file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.3736693182342563
tilty1	-0.09722031212261895
a4	0.21725868135612986
a5	0.020158393328588275
a6	0.11310702500457917
a7	0.012221266161320937
a8	-0.028518454976775867
a9	-0.246147015512136
a10	-0.12924899162344644
a11	-0.5589848709404206
a12	-0.08794789859615407
a13	0.019660718969270335
a14	-0.057575848590171314
a15	0.0038898443531140033
