file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.3692661003418176
tilty1	-0.09219322201917475
a4	0.19846176200274063
a5	-0.028145065977344196
a6	0.10850380531853801
a7	-0.024913743008544
a8	-0.014734472593992715
a9	-0.2664137904347863
a10	-0.08671278817813889
a11	-0.5526202069984111
a12	-0.06685770858000473
a13	0.009958617561908412
a14	-0.03866810947271479
a15	0.01836349176974461
