file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.377285889182359
tilty1	-0.1218513469064507
a4	-0.3540437988823522
a5	-0.05955099359472418
a6	0.2169706574055326
a7	-0.024580878085868802
a8	-0.030101933419343283
a9	-0.26761990155261883
a10	0.061044442011630784
a11	-0.37875445610435526
a12	-0.15785805885368664
a13	0.090995943479
a14	0.022376861586621992
a15	0.015125611285904445
