file	random_cam1_517nm
output	MPS/
ext	.fits
Jmin	2
Jmax	16
tol	0.05
maxnorm	2
maxit	30
w_cut	0.075
d	[ 0.     -1.5111]
a_d	[ 0.     -2.7408]
offset	0.0
tiltx0	0.0
tilty0	0.0
tiltx1	-0.3771823764671507
tilty1	-0.10201211189130005
a4	-0.321434482808605
a5	-0.06396455249690024
a6	0.17182126432974784
a7	-0.07747115823367534
a8	0.003288162671749393
a9	-0.27508254647850316
a10	0.08075707088788968
a11	-0.40109141994504843
a12	-0.21327369438417382
a13	0.09960131192040815
a14	-0.03100539788244842
a15	0.03520975103018274
